id;name;description;public_key;public_key_enabled;admin_id
1;mobile Fish;Home Loan Account Table Computer;Trace;false;2
2;alarm;Tasty Metal Bacon;red Chips Soap;false;2
3;Grocery Home;Investment Account Steel;Coordinator;false;1
4;bluetooth;syndicate;Mississippi Refined Rubber Chick;false;1
5;Usability South Dakota envisioneer;Intelligent;Monitored Bahamian Dollar Invest;true;1
6;Regional;Tuna;hardware Costa Rica Mayotte;false;1
7;synthesizing Views e-enable;Credit Card Account National Awesome;Aruba;true;1
8;scale interactive generating;Specialist Home Loan Account;Plastic;true;1
9;Industrial;index orange;Jewelery;false;2
10;application quantify Unbranded Plastic Tuna;Internal;Investment Account archive Fanta;false;2
