id;description;url;creation_date;modification_date;creator_id;recipient_id
1;Direct;http://danny.name;2019-11-27T00:10:07;2019-11-27T10:24:24;1;1
2;cutting-edge ability Hat;https://hayley.info;2019-11-27T05:05:19;2019-11-26T17:48:03;2;2
3;encompassing;http://twila.biz;2019-11-27T02:39:45;2019-11-27T05:10:08;3;3
4;Oklahoma facilitate;http://wanda.biz;2019-11-26T11:19:15;2019-11-27T04:29:39;4;4
5;Moroccan Dirham;https://elise.com;2019-11-27T03:34:59;2019-11-26T10:28:25;5;5
6;mission-critical;https://jimmy.info;2019-11-27T09:11:01;2019-11-27T09:37:34;6;6
7;ubiquitous;https://dawson.net;2019-11-27T06:56:30;2019-11-26T21:40:37;7;7
8;Way Dominican Republic;https://margarett.com;2019-11-26T16:08:26;2019-11-27T01:32:51;8;8
9;Re-contextualized;https://fredy.info;2019-11-26T19:14:39;2019-11-26T10:49:02;9;9
10;deliver bypassing;https://robin.com;2019-11-27T02:43:14;2019-11-26T22:13:21;10;10
