id;nb_of_gift_to_receive;nb_of_gift_to_donate;user_alias;user_id;event_id
1;60754;68030;Centers;1;1
2;94888;94220;South Dakota envisioneer Music;1;2
3;68423;24102;Bahamian Dollar Investment Account;2;3
4;3438;17336;incentivize Tuna copy;1;4
5;52006;20794;Georgia Industrial;2;5
6;77513;44975;e-enable Communications capacitor;1;6
7;8849;57044;Aruba;2;7
8;32533;84453;compress South Georgia and the South Sandwich Islands;2;8
9;35675;96525;Home Loan Account;1;9
10;14092;29627;Car Industrial deliverables;1;10
